"","X","X.1","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score","RCGY_predicted","bar_predicted"
"306",306,1542,235308,645586,2353,"Il Barone","Rosso",149,NA,3000,49.67,"2012-02-06",NA,"Rott vin. Mjukt & Barigt","Box","Tryckknapp topp","","Italien","ViniMundi","The Wine Team",2013,2013,"12%","FS",0,0,"Huvudsakligen sangiovese samt ovriga druvsorter.","5 ","5 ","9 ","Huvudsakligen.sangiovese.samt.övriga.druvsorter","bärig.något.syltig.smak.inslag.blåbär.vanilj ","Bärig.något.syltig.doft.inslag.skogsbär.smörkola",99,2.25,3.41666666666667
"307",307,1543,235401,662370,2354,"Il Tre Fratelli","Chianti",49,NA,750,65.33,"2012-05-23",NA,"Rott vin","Flaska","Naturkork","Toscana. Chianti","Italien","Brandpartners AB","Brandpartners AB",2011,NA,"13%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,5.25,NA
"308",308,1544,235501,235888,2355,"Valle Reale","Montepulciano d'Abruzzo",99,NA,750,132,"2007-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Abruzzerna. Montepulciano d'Abruzzo","Italien","Valle Reale","The WineAgency Sweden AB",2010,2010,"13.5%","FS",1,0,"Montepulciano.","8 ","8 ","10","Montepulciano","kryddig.fruktig.smak.fatkaraktär.inslag.mörka.körsbär.salvia.kakao ","Kryddig.fruktig.doft.fatkaraktär.inslag.mörka.körsbär.salvia.choklad",99,2.25,6.5
"309",309,1545,235601,663412,2356,"R","Ripasso",109,NA,750,145.33,"2012-05-07",NA,"Rott vin","Flaska","Naturkork","Venetien. Valpolicella. Valpolicella Superiore","Italien","Alpha Zeta","Mondo Wine Sweden AB",2011,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.75,NA
"310",310,1546,235708,664108,2357,"Palazzo","Mio Rosso",154,NA,3000,51.33,"2012-05-04",NA,"Rott vin. Kryddigt & Mustigt","Box","Vingtapp","","Italien","Nordic Sea Winery","Oenoforos AB",NA,NA,"12.5%","FS",0,0,"Primitivo. negro amaro. sangiovese och montepulciano.","7 ","7 ","9 ","Primitivo.negro.amaro.sangiovese.och.montepulciano","kryddig.fruktig.smak.inslag.mörka.körsbär.blåbär.örter.vanilj ","Kryddig.fruktig.doft.inslag.mörka.russin.choklad.vanilj",99,NA,6.70833333333333
"311",311,1547,235801,560656,2358,"Pasqua Amarone della Valpolicella","",189,NA,750,252,"2011-02-03",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Pasqua","Enjoy Wine & Spirits AB",2010,2010,"15%","FS",0,0,"Corvina. rondinella. corvinone och negrara.","9 ","8 ","9 ","Corvina.rondinella.corvinone.och.negrara","kryddig.smak.inslag.torkade.körsbär.russin.viol.lakrits.mjölkchoklad ","Kryddig.doft.inslag.torkad.frukt.viol.lakrits.salvia.mjölkchoklad",99,2.25,6.69444444444444
"312",312,1548,235901,671596,2359,"Torre del Falasco","Ripasso",85,NA,750,113.33,"2012-06-29",NA,"Rott vin","Flaska","Naturkork","Venetien. Valpolicella","Italien","Cantina Valpantena","Spendrups Bryggeri AB",2011,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.75,NA
"313",313,1549,236001,786122,2360,"The Big Zin","Zinfandel Old Vines",75,NA,750,100,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Apulien","Italien","ViniMundi","The Wine Team",2012,NA,"13.5%","FSB",0,0,"Zinfandel.","8 ","7 ","9 ","Zinfandel","generöst.fruktig.smak.liten.sötma.inslag.viol.drottningsylt.björnbär.vanilj ","Generöst.fruktig.doft.inslag.viol.drottningsylt.björnbär.vanilj",99,6.25,7.41666666666667
"314",314,1550,236008,673390,2360,"The Big Zin","Zinfandel Old Wines",199,NA,3000,66.33,"2012-06-19",NA,"Rott vin. Fruktigt & Smakrikt","Box","Tryckknapp topp","Apulien","Italien","ViniMundi","The Wine Team",2013,2013,"13.5%","FS",0,0,"Zinfandel.","8 ","7 ","9 ","Zinfandel","generöst.fruktig.smak.liten.sötma.inslag.viol.drottningsylt.björnbär.vanilj ","Generöst.fruktig.doft.inslag.viol.drottningsylt.björnbär.vanilj",99,2.25,7.41666666666667
"315",315,1552,236101,674690,2361,"AC/DC Back in Black","Shiraz",119,NA,750,158.67,"2012-06-19",NA,"Rott vin","Flaska","Skruvkapsyl","South Australia. Barossa","Australien","Warburn Estate","Giertz Vinimport AB",2010,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,2.25,NA
"316",316,1554,236501,271700,2365,"Barbera d'Alba","Luigi Voghera",109,NA,750,145.33,"2007-10-01",NA,"Rott vin","Flaska","Naturkork","Piemonte. Barbera d'Alba","Italien","Luigi Voghera","Prime Wine Sweden AB",2011,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.75,NA
"317",317,1555,236601,650594,2366,"Monti Garbi Sponsà","",91,NA,750,121.33,"2012-04-16",NA,"Rott vin","Flaska","Naturkork","Venetien. Veronese","Italien","Tenuta Sant' Antonio","Johan Lidby Vinhandel AB",2011,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.75,NA
"318",318,1556,236701,215626,2367,"Farnese","Colline Teramane",99,NA,750,132,"2006-10-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Abruzzerna. Montepulciano d'Abruzzo Colline Teramane","Italien","Farnese","WineWorld AB",2009,2009,"13.5%","FS",0,0,"Montepulciano.","10","8 ","9 ","Montepulciano","generöst.fruktig.smak.fatkaraktär.inslag.mörka.körsbär.plommon.viol.kaffe.kokos ","Generöst.fruktig.doft.fatkaraktär.inslag.mörka.körsbär.plommon.viol.kokos",99,NA,4.70833333333333
"319",319,1557,236801,739408,2368,"Castelforte","Appassimento",79,NA,750,105.33,"2013-02-28",NA,"Rott vin","Flaska","Naturkork","Venetien","Italien","Cantine Riondo","Winepartners Nordic AB",2010,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,2.25,NA
"320",320,1558,236901,325466,2369,"Cafê Culture","Coffe Mocha Pinotage",79,NA,750,105.33,"2008-04-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","KWV","Arvid Nordquist Vin och Sprithandel",2013,2013,"14%","FS",0,0,"Pinotage.","8 ","7 ","9 ","Pinotage","smakrikt.påtaglig.karaktär.rostade.ekfat.inslag.kaffekaramell.skogsbär.choklad ","Stor.doft.påtaglig.karaktär.rostade.ekfat.inslag.kaffe.mörka.chokladpraliner",99,2.25,7.41666666666667
"321",321,1562,237301,16862,2373,"Terreno","Chianti Classico",99,NA,750,132,"1999-01-04",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Toscana. Chianti. Chianti Classico","Italien","Terreno","Storia Wine AB",2011,2011,"13.5%","FS",0,0,"Sangiovese 90%. canaiolo 10%","8 ","8 ","9 ","Sangiovese.90%.canaiolo.10%","fruktig.smak.fatkaraktär.inslag.körsbär.svart.vinbär.kakao.vanilj.örter ","Fruktig.doft.fatkaraktär.inslag.mörka.körsbär.choklad.vanilj.basilika",99,5.25,6.08333333333333
"322",322,1563,237401,760204,2374,"Norma","",119,NA,750,158.67,"2013-09-02",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Sicilien. Etna","Italien","Cantine Valenti","Vinunic AB",2011,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.75,NA
"323",323,1564,237701,760210,2377,"Cesarini Sforza","Teroldego Rotaliano",79,NA,750,105.33,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Trentino-Alto Adige. Teroldego Rotaliano","Italien","Cesarini Sforza Spumanti SpA","Chris-Wine AB",2012,2012,"13%","FS",0,0,"Teroldego.","7 ","7 ","9 ","Teroldego","fruktig.nyanserad.smak.inslag.björnbär.mörka.körsbär.choklad.blåbär.örter ","Fruktig.nyanserad.doft.inslag.björnbär.mörka.körsbär.choklad.örter",99,6.25,6.70833333333333
"324",324,1565,237801,856607,2378,"Don Jacobo","Gran Reserva",229,NA,750,305.33,"2014-09-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Bodegas Corral","Arvid Nordquist Vin och Sprithandel",1998,1998,"13.5%","FSN",0,0,"Tempranillo. garnacha. mazuelo och graciano.","8 ","8 ","9 ","Tempranillo.garnacha.mazuelo.och.graciano","mogen.ursprungstypisk.smak.fatkaraktär.inslag.dill.russin.choklad.torkade.körsbär.kryddor ","Mogen.ursprungstypisk.doft.fatkaraktär.inslag.dill.russin.choklad.torkade.körsbär.kryddor",99,NA,6.08333333333333
"325",325,1566,237901,675847,2379,"Zeni Bardolino Superiore","Classico",99,NA,750,132,"2012-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Venetien. Bardolino. Bardolino Classico","Italien","Zeni","Handpicked Wines Sweden AB",2012,2012,"13.5%","FS",0,0,"50% corvina. 30% rondinella. 10% corvinone och 10% molinara.","7 ","7 ","9 ","50%.corvina.30%.rondinella.10%.corvinone.och.10%.molinara","fruktig.smak.fatkaraktär.inslag.mörka.körsbär.örter.lakrits.vanilj.kryddor ","Fruktig.doft.fatkaraktär.inslag.mörka.körsbär.örter.skogshallon.lakrits.vanilj",99,6.25,6.70833333333333
"326",326,1567,238001,760231,2380,"Le Bertille","Rosso di Montepulciano",102,NA,750,136,"2013-09-02",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Plastkork/syntetkork","Toscana. Rosso di Montepulciano","Italien","Le Bertille","Vinlusen AB",2012,2012,"13.5%","FS",0,0,"Sangiovese. colorino. mammolo och ciliegiolo.","7 ","8 ","9 ","Sangiovese.colorino.mammolo.och.ciliegiolo","kryddig.smak.fatkaraktär.inslag.körsbär.hallon.kanel.nypon.örter.kakao ","Kryddig.doft.fatkaraktär.inslag.körsbär.hallon.kanel.choklad.örter",99,6.5,4.70833333333333
"327",327,1568,238401,737780,2384,"Lupi Reali","",69,NA,750,92,"2013-04-02",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Skruvkapsyl","Abruzzerna. Montepulciano d'Abruzzo","Italien","Enoitalia","The WineAgency Sweden AB",2013,2013,"12.5%","FS",1,0,"Montepulciano.","7 ","6 ","9 ","Montepulciano","kryddig.fruktig.smak.inslag.mörka.vanilj.ochkryddpeppar ","Kryddig.fruktig.doft.inslag.mörka.körsbär.blåbär.vanilj.kryddpeppar",99,2.25,3.41666666666667
"328",328,1569,238601,21955,2386,"Masi","Modello delle Venezie",79,NA,750,105.33,"2000-04-03",NA,"Rott vin. Mjukt & Barigt","Flaska","Skruvkapsyl","Venetien. Delle Venezie","Italien","Masi","Philipson Soderberg AB",2012,2012,"12%","FS",0,0,"Refosco och raboso samt ovriga druvsorter.","5 ","5 ","9 ","Refosco.och.raboso.samt.övriga.druvsorter","bärig.smak.inslag.körsbär.vanilj.gräs.lakrits ","Bärig.doft.inslag.körsbär.lakrits.vanilj",99,6.25,3.41666666666667
"329",329,1570,238608,536753,2386,"Masi","Modello delle Venezie",255,NA,3000,85,"2010-11-01",NA,"Rott vin. Mjukt & Barigt","Box","Vingtapp","Venetien. Delle Venezie","Italien","Masi","Philipson Soderberg AB",2012,2012,"12%","FS",0,0,"Refosco och raboso samt ovriga druvsorter.","5 ","5 ","9 ","Refosco.och.raboso.samt.övriga.druvsorter","bärig.smak.inslag.körsbär.vanilj.gräs.lakrits ","Bärig.doft.inslag.körsbär.lakrits.vanilj",99,6.25,3.41666666666667
"330",330,1572,238801,712033,2388,"Zenato","Veneto Rosso Parziale Appasimento",103,NA,750,137.33,"2012-11-23",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien","Italien","Zenato","Hjo Grosshandel AB",2012,2012,"13.5%","FSB",0,0,"","7 ","7 ",NA,"Ingen anged","kryddig.smak.inslag.körsbär.plommon.kanel.vanilj ","Kryddig.doft.inslag.körsbär.svarta.vinbär.salvia.ingefära",99,6.25,6.66666666666667
"331",331,1573,238908,823006,2389,"Org de Rac","Shiraz Cabernet Sauvignon Merlot",219,NA,3000,73,"2014-06-02",NA,"Rott vin. Fruktigt & Smakrikt","Box","Tryckknapp topp","Western Cape","Sydafrika","Org de Rac","Vinia Sweden AB",2013,2013,"14%","FS",1,0,"Shiraz. cabernet sauvignon och merlot.","8 ","8 ","9 ","Shiraz.cabernet.sauvignon.och.merlot","mycket.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.björnbär.choklad.kaffe.örter ","Mycket.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.björnbär.choklad.örter",99,2.25,6.08333333333333
"332",332,1575,239201,659175,2392,"Piccini","Memoro",89,NA,750,118.67,"2012-05-07",NA,"Rott vin","Flaska","Naturkork","","Italien","Gestioni Piccini","Enjoy Wine & Spirits AB",NA,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"333",333,1576,239301,300131,2393,"Musella","Valpolicella Superiore",99,NA,750,132,"2008-04-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Skruvkapsyl","Venetien. Valpolicella","Italien","Musella","Enjoy Wine & Spirits AB",2012,2012,"13%","FS",0,0,"70% corvina och corvinone. 20% rondinella och 10% barbera.","7 ","7 ","10","70%.corvina.och.corvinone.20%.rondinella.och.10%.barbera","nyanserad.kryddig.smak.fatkaraktär.inslag.körsbär.salvia.röda.vinbär.kanel.vanilj ","Nyanserad.kryddig.doft.fatkaraktär.inslag.körsbär.salvia.vanilj.kanel",99,6.25,7.33333333333333
"334",334,1577,239701,676268,2397,"Vigna Pedale","Riserva",119,NA,750,158.67,"2012-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Apulien. Castel del Monte","Italien","Torrevento","Enoterra AB",2009,2009,"13%","FS",0,0,"Nero di troia.","9 ","9 ","9 ","Nero.troia","nyanserad.kryddig.något.fruktig.smak.fatkaraktär.inslag.björnbär.körsbär.kanel.tobak ","Nyanserad.kryddig.något.fruktig.doft.fatkaraktär.inslag.björnbär.körsbär.tobak.sandelträ",99,NA,7.36111111111111
"335",335,1578,239801,676892,2398,"Barolo Albe","G.D. Vajra",204,NA,750,272,"2012-10-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Piemonte. Barolo","Italien","G.D. Vajra","Moestue Grape Selections AB",2009,2009,"14.5%","FS",0,0,"Nebbiolo.","9 ","10","10","Nebbiolo","stram.balanserad.smak.fatkaraktär.inslag.mörka.körsbär.rosor.tobak.nypon.kakao.pomerans ","Kryddig.nyanserad.doft.fatkaraktär.inslag.torkad.frukt.körsbär.rosor.nypon.choklad",99,NA,7.44444444444444
"336",336,1581,240201,812457,2402,"Château Plince","",299,NA,750,398.67,"2014-03-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Bordeaux. Pomerol","Frankrike","","Hjo Grosshandel AB",2011,2011,"13%","FS",0,0,"Egendomen ar planterad med 72% merlot. 23% cabernet franc och 5% cabernet sauvignon.","10","10","10","Egendomen.planterad.med.72%.merlot.23%.cabernet.franc.och.cabernet.sauvignon","komplex.smak.fatkaraktär.inslag.plommon.svarta.vinbär.choklad.kaffe.ceder.örter ","Komplex.doft.fatkaraktär.inslag.plommon.svarta.vinbär.choklad.kaffe.ceder.örter",99,4.75,5.83333333333333
"337",337,1584,240601,759276,2406,"Notre Dame de Cousignac","Ventoux",72,NA,750,96,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Rhonedalen. Ventoux","Frankrike","Notre Dame de Cousignac","Spendrups Bryggeri AB",2013,2013,"13.5%","FS",1,0,"70% grenache och 30% syrah.","7 ","7 ","9 ","70%.grenache.och.30%.syrah","ungdomlig.fruktig.smak.inslag.hallon.mörka.körsbär.viol.peppar.örter ","Mycket.fruktig.doft.inslag.mörka.körsbär.hallon.viol.timjan",99,2.25,6.70833333333333
"338",338,1585,240701,871165,2407,"Givry Premier Cru Clos Charlé","Domaine Mouton",199,NA,750,265.33,"2014-12-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Bourgogne. Côte Chalonnaise. Givry","Frankrike","Domaine Mouton","Concealed Wines AB",2012,2012,"13.5%","FSN",0,0,"Pinot noir.","6 ","6 ","10","Pinot.noir","nyanserad.kryddig.smak.fatkaraktär.inslag.körsbär.choklad.hallon.sandelträ.örter ","Nyanserad.kryddig.doft.fatkaraktär.inslag.körsbär.choklad.jordgubbar.sandelträ.örter",99,6.25,7.33333333333333
"339",339,1587,240901,871182,2409,"Château Moulin Caresse","",89,NA,750,118.67,"2014-12-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Frankrike sydvast. Bergerac","Frankrike","Château Moulin Caresse","People Wine AB",2011,2011,"13.5%","FSN",0,0,"Merlot. cabernet franc. cabernet sauvignon och malbec.","8 ","9 ","9 ","Merlot.cabernet.franc.cabernet.sauvignon.och.malbec","nyanserad.smak.fatkaraktär.inslag.svarta.vinbär.körsbär.mörk.choklad.örter.kaffe.ceder ","Nyanserad.doft.fatkaraktär.inslag.svarta.vinbär.körsbär.mörk.choklad.örter.peppar.ceder",99,3.75,6.75
"340",340,1594,241901,1731,2419,"Serego Alighieri Vaio Armaron","Amarone",395,NA,750,526.67,"1994-02-14",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Masi","Philipson Soderberg AB",2007,2007,"15.5%","FS",0,0,"Corvina 60%. rondinella 20%. molinara 15%. dindarella 5%","10","10","10","Corvina.60%.rondinella.20%.molinara.15%.dindarella","kryddigt.smakrikt.utvecklat.fatkaraktär.inslag.torkade.körsbär.plommon.tobak.russin.kakao.fikon ","Kryddig.utvecklad.nyanserad.doft.fatkaraktär.inslag.torkade.körsbär.tobak.russin.mörk.choklad.fikon",99,NA,5.83333333333333
"341",341,1600,242708,166238,2427,"Viña Albali","Barrel Aged",159,NA,3000,53,"2005-10-01",NA,"Rott vin","Box","Vingtapp","Valdepeñas","Spanien","Felix Solis","Martin & Servera Aktiebolag",2013,NA,"13%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,2.25,NA
"342",342,1603,243101,864416,2431,"Lourensford Reserve","Cabernet Sauvignon Merlot",129,NA,750,172,"2014-12-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Western Cape. Coastal Region. Stellenbosch","Sydafrika","Lourensford","Modern Wines Sweden AB",2013,2013,"14%","FSN",0,0,"50% cabernet sauvignon. 36% merlot och 14% shiraz.","10","10","10","50%.cabernet.sauvignon.36%.merlot.och.14%.shiraz","nyanserad.fruktig.smak.rostad.fatkaraktär.inslag.svarta.vinbär.kaffe.tobak.mörk.choklad.lakrits ","Nyanserad.fruktig.doft.rostad.fatkaraktär.inslag.plommon.svarta.vinbär.kaffe.lakrits",99,2.25,5.83333333333333
"343",343,1605,243901,759354,2439,"Langhe A Mont","Nebbiolo",169,NA,750,225.33,"2013-09-02",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Piemonte. Langhe","Italien","Paolo Conterno","Gullberg by Stockwine AB",2012,2012,"14%","FS",0,0,"Nebbiolo.","8 ","9 ","9 ","Nebbiolo","nyanserad.kryddig.smak.fatkaraktär.inslag.torkade.körsbär.nypon.viol.ceder.pomerans.kakao ","Nyanserad.kryddig.doft.fatkaraktär.inslag.mogna.jordgubbar.nypon.lavendel.vanilj",99,6.25,6.75
"344",344,1606,244001,675019,2440,"Le Verdier","",89,NA,750,118.67,"2012-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rhonedalen. Côtes du Rhône. Côtes-du-Rhône-Villages. Côtes-du-Rhône-Villages Cairanne","Frankrike","Providential Wines & Spirits AB","Providential Wines & Spirits AB",2012,2012,"14%","FS",0,0,"50% grenache. 30% syrah. 10% cinsault och 10% mourvèdre.","8 ","7 ","9 ","50%.grenache.30%.syrah.10%.cinsault.och.10%.mourvèdre","kryddig.smak.inslag.blåbär.örter.hallon.peppar ","Kryddig.doft.inslag.blåbär.lavendel.peppar.lakrits",99,6.25,7.41666666666667
"345",345,1610,246901,807497,2469,"Les Pious","Côtes du Rhône",89,1,750,118.67,"2014-03-01",NA,"Rott vin. Fruktigt & Smakrikt","PET-flaska","Skruvkapsyl","Rhonedalen. Côtes du Rhône","Frankrike","REMI POUIZIN","Vinia Sweden AB",2012,2012,"13.5%","FS",1,0,"Grenache och syrah.","8 ","8 ","9 ","Grenache.och.syrah","fruktig.smak.inslag.björnbär.mörka.körsbär.viol.peppar.lagerblad.lakrits ","Fruktig.doft.inslag.björnbär.mörka.körsbär.viol.kryddor.lakrits",99,6.25,6.08333333333333
"346",346,1613,247901,812454,2479,"Château L'Ermitage","",121,NA,750,161.33,"2014-03-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Bordeaux. Haut-Médoc. Listrac-Médoc","Frankrike","Vignobles Thomas","Pernod Ricard Sweden AB",2011,2011,"13.5%","FS",0,0,"50% merlot. 40% cabernet sauvignon och 10% petit verdot.","9 ","10","9 ","50%.merlot.40%.cabernet.sauvignon.och.10%.petit.verdot","nyanserad.smak.rostade.fatkaraktär.inslag.svarta.vinbär.kakao.plommon.tobak.ceder ","Nyanserad.doft.fatkaraktär.inslag.svarta.vinbär.mörk.choklad.plommon.tobak.ceder",4,5.91666666666667,7.02777777777778
"347",347,1616,250501,738132,2505,"Aventino","200 Barrels",159,NA,750,212,"2013-06-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Ribera del Duero","Spanien","Vinnico Export","Enjoy Wine & Spirits AB",2010,2010,"14.5%","FS",0,0,"Tinto fino (tempranillo).","10","9 ","9 ","Tinto.fino.(tempranillo)","nyanserad.fruktig.stram.smak.rostad.fatkaraktär.inslag.mörka.kakao.vanilj.tobak ","Nyanserad.doft.rostad.fatkaraktär.inslag.björnbär.choklad.mörka.körsbär.tobak.lagerblad",99,2.25,5.70833333333333
"348",348,1618,251801,34443,2518,"Hermon","Mount Hermon Red",116,NA,750,154.67,"2002-03-04",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Golanhojderna","ovriga ursprung","Golan Heights Winery","Amka Vinimport AB",2013,2013,"14%","FSB",0,1,"Cabernet sauvignon. merlot. cabernet franc. malbec och petit verdot.","8 ","8 ","9 ","Cabernet.sauvignon.merlot.cabernet.franc.malbec.och.petit.verdot","kryddig.smak.inslag.russin.kanel.mörka.sötlakrits ","Kryddig.utvecklad.doft.inslag.russin.kanel.mörka.lakrits.vanilj",99,2.25,6.08333333333333
"349",349,1619,251901,718201,2519,"Casa de Santar","Reserva",129,NA,750,172,"2013-03-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Beiras. Dão","Portugal","Sociedade Agrícola de Santar","BGS Wine Import",2009,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"350",350,1620,252001,840033,2520,"Château Leret Monpezat","",149,NA,750,198.67,"2014-06-02",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Frankrike sydvast. Cahors","Frankrike","Jean-Baptiste de Monpezat","Stragas-Gruppen AB",2011,2011,"14.5%","FS",0,0,"90% malbec och 10% merlot.","10","9 ","9 ","90%.malbec.och.10%.merlot","nyanserad.smak.fatkaraktär.inslag.björnbär.viol.svarta.oliver.blåbär.choklad.kaffe ","Nyanserad.doft.fatkaraktär.inslag.björnbär.viol.svarta.oliver.blåbär.lakrits.kaffe",99,3.75,5.70833333333333
"351",351,1622,252101,760696,2521,"Aliança Reserva","",79,NA,750,105.33,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Beiras. Dão","Portugal","Caves Aliança","Vinunic AB",2011,2011,"14%","FS",0,0,"60% tinta roriz. 30% touriga nacional och 10% jaen.","8 ","8 ","9 ","60%.tinta.roriz.30%.touriga.nacional.och.10%.jaen","fruktig.smak.inslag.plommon.björnbär.peppar.lakrits.kakao ","Fruktig.doft.inslag.plommon.mörka.körsbär.viol.svartpeppar.choklad",99,3.75,6.08333333333333
"352",352,1623,252301,338407,2523,"Rocca di Montemassi","Le Focaie",89,NA,750,118.67,"2008-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Toscana. Maremma Toscana","Italien","Tenuta Rocca di Montemassi","Pernod Ricard Sweden AB",NA,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,4.25,NA
"353",353,1625,252501,1825,2525,"Baron de Ley","Reserva",108,NA,750,144,"1994-02-14",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Baron de Ley","Enjoy Wine & Spirits AB",2009,2009,"13.5%","FS",0,0,"Tempranillo.","8 ","8 ","9 ","Tempranillo","kryddig.utvecklad.smak.fatkaraktär.inslag.mörka.körsbär.dill.choklad.tobak ","Kryddig.utvecklad.doft.fatkaraktär.inslag.dill.mörka.körsbär.choklad.tobak",99,NA,6.08333333333333
"354",354,1626,253301,673641,2533,"NBNC","",69,NA,750,92,"2012-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Lisboa","Portugal","Abreu & Sobreiro","Arvid Nordquist Vin och Sprithandel",2012,2012,"13%","FS",0,0,"70% aragonês. 20% castelão och 10% touriga nacional.","7 ","7 ","9 ","70%.aragonês.20%.castelão.och.10%.touriga.nacional","mycket.fruktig.smak.inslag.mörka.körsbär.lavendel.blåbär.lakrits.kanel ","Mycket.fruktig.doft.inslag.björnbär.lavendel.mörka.körsbär.lakrits.örter",99,6.25,6.70833333333333
"355",355,1628,254801,650081,2548,"Baron de Ley","Gran Reserva",185,NA,750,246.67,"2012-03-05",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Baron de Ley","Enjoy Wine & Spirits AB",2007,2007,"13.5%","FS",0,0,"Tempranillo.","9 ","8 ","9 ","Tempranillo","nyanserad.kryddig.smak.fatkaraktär.inslag.torkade.körsbär.plommon.kaffe.tobak.kakao ","Utvecklad.nyanserad.doft.fatkaraktär.inslag.torkade.körsbär.dill.plommon.tobak.mörk.choklad",99,NA,6.69444444444444
"356",356,1629,254901,760625,2549,"Catralvos","",102,NA,750,136,"2013-09-02",NA,"Rott vin","Flaska","Naturkork","Terras do Sado. Palmela","Portugal","Horácio Simões","Sundance Wines AB",2010,2010,"13.5%","FS",0,0,"85% castelão. 10% aragonez och 5% syrah.","9 ","9 ","9 ","85%.castelão.10%.aragonez.och.syrah","kryddig.smak.fatkaraktär.inslag.russin.stjärnanis.torkade.körsbär.rosmarin.choklad ","Kryddig.doft.fatkaraktär.inslag.russin.stjärnanis.torkade.körsbär.rosmarin.pomerans",99,2.25,7.36111111111111
